what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449236306259
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449236306284
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449236315193
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449236315217
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449236338297
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449236338326
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449236370024
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1449236371436
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1449236373827
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236387415
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236390282
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236391065
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236396007
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236396406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236458521
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236462757
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236470304
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236471358
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1449236471537
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1449236471573
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236471644
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1449236471651
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1449236472574
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1449236472577
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1449236472579
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1449236484419
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449236486647
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1449236506319
error,log,,,"An exception occurred invoking extension: org.eclipse.cdt.ui.navigator.content for object testBdd",1449236506320
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1449236566703
error,log,,,"An exception occurred invoking extension: org.eclipse.cdt.ui.navigator.content for object testBdd",1449236566703
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236571186
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1449236592973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236593026
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1449236595482
error,log,,,"An exception occurred invoking extension: org.eclipse.cdt.ui.navigator.content for object testBdd",1449236595482
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236604320
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1449236621665
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236621732
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1449236638962
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449236658397
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1449236658405
error,log,,,"An exception occurred invoking extension: org.eclipse.cdt.ui.navigator.content for object testBdd",1449236658406
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.binaryEditor",1449236660825
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.binaryEditor",1449236660863
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449236660882
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.binaryEditor",1449236662878
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449236662970
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.binaryEditor",1449236662971
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449236671449
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1449236746637
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1449236746715
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449236795225
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1449236795225
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1449236835501
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449236881835
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236883490
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1449236940372
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236940393
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236949083
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236961821
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236962069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236962329
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236962521
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236984491
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236984560
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236984746
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449236984930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237023072
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1449237029591
error,log,,,"An exception occurred invoking extension: org.eclipse.cdt.ui.navigator.content for object liblibBdd.so",1449237029592
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237036074
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237060118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237109567
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1449237113469
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237113499
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237116393
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1449237122601
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237122622
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237124908
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1449237149238
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237149272
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449237166024
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449237169720
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1449237190772
error,log,,,"An exception occurred invoking extension: org.eclipse.cdt.ui.navigator.content for object testBdd",1449237190773
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237192652
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237270371
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449237270406
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449237287603
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237310460
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1449237318625
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237318682
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237321160
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449237330183
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1449237331633
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237331663
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237333962
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1449237339352
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1449237342261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237342292
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449237373580
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449237376794
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1449237378044
error,log,,,"An exception occurred invoking extension: org.eclipse.cdt.ui.navigator.content for object testBdd",1449237378044
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449237396744
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449237396768
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1449237408376
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449237410977
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449237473995
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237492638
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237607023
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449237609564
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449237610775
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449237628913
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449237630460
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449237633257
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1449237665066
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449237666982
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237667670
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237693941
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449237693997
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1449237704786
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449237706606
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237708879
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237736199
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449237736319
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1449237739630
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237800243
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237802392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237803666
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237820681
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449237820719
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449237821296
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237870904
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237878649
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449237878680
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237882283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237897582
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449237898404
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237907036
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237935391
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449237935430
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449237937854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237959324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449237987298
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449237996080
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1449237999486
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449238002332
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449238004092
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1449238007912
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1449238017318
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1449238027074
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449238029622
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1449238031393
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1449238031433
